ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,created_by,title,6_Plot_Name,7_Date,8_Time,lat_9_Plot_Center,long_9_Plot_Center,accuracy_9_Plot_Center,UTM_Northing_9_Plot_Center,UTM_Easting_9_Plot_Center,UTM_Zone_9_Plot_Center,10_Plot_Type,11_Quadrat,35_Graminoids,36_Forbs,37_Moss,38_Lichen,39_Shrub,40_NPV,41_Rock,42_Soil,43_Overall_Green,44_Species_1,45_Species_1,46_Species_2,47_Species_2,48_Species_3,49_Species_3,50_Species_4,51_Species_4,52_Species_5,53_Species_5,55_North_Toward_Cent,56_West_Toward_Cente,57_South_Toward_Cent,58_East_Toward_Cente,59_Photo_Down,60_Plot_Sketch_Photo,61_Plot_Notes
e7acf14e-6e54-435a-b7e1-3a16223d2a48,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T22:55:07.876Z,2022-09-05T16:51:18.000Z,me@kylekovach.com,BERM_0013,BERM_0013,9/1/2022,16:51:31,54.00078,-105.113369,5,5983614,492568,13U,Single Species Patch Tree/Shrub,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,e7acf14e-6e54-435a-b7e1-3a16223d2a48_1662072796.jpg,e7acf14e-6e54-435a-b7e1-3a16223d2a48_1662072825.jpg,e7acf14e-6e54-435a-b7e1-3a16223d2a48_1662072842.jpg,e7acf14e-6e54-435a-b7e1-3a16223d2a48_1662072878.jpg,e7acf14e-6e54-435a-b7e1-3a16223d2a48_1662072887.jpg,,
da228feb-b1df-41af-9287-bb16fb0d46ba,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T22:26:07.986Z,2022-09-05T16:51:02.000Z,me@kylekovach.com,BERM_0012,BERM_0012,9/1/2022,16:18:22,53.996784,-105.112982,5,5983169,492593,13U,Mixed Species Patch Tree/Shrub,0,10 - 25%,0 - 10%,10 - 25%,N/A,50 - 75%,N/A,N/A,N/A,90 - 100%,Larix laricinia,25 - 50%,Willow,25 - 50%,Grass,25 - 50%,Horsetail,0 - 10%,,N/A,da228feb-b1df-41af-9287-bb16fb0d46ba_1662071046.jpg,da228feb-b1df-41af-9287-bb16fb0d46ba_1662071099.jpg,da228feb-b1df-41af-9287-bb16fb0d46ba_1662071131.jpg,da228feb-b1df-41af-9287-bb16fb0d46ba_1662071160.jpg,da228feb-b1df-41af-9287-bb16fb0d46ba_1662070965.jpg,,
f6acf847-b323-42cd-b85a-bbb1a4e86990,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T19:50:08.631Z,2022-09-05T16:50:56.000Z,me@kylekovach.com,BERM_0011,BERM_0011,9/1/2022,13:45:28,53.801998,-104.617671,5,5961560,525180,13U,Mixed Species Box Ground,0,50 - 75%,25 - 50%,N/A,N/A,25 - 50%,N/A,N/A,N/A,90 - 100%,Sedge,50 - 75%,Equisetum,25 - 50%,Resin birch,25 - 50%,,N/A,,N/A,,,f6acf847-b323-42cd-b85a-bbb1a4e86990_1662061770.jpg,,f6acf847-b323-42cd-b85a-bbb1a4e86990_1662061785.jpg,,
87b77fe2-3ba4-4b42-b096-9f78a9088949,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T19:07:01.519Z,2022-09-05T16:50:51.000Z,me@kylekovach.com,BERM_0010,BERM_0010,9/1/2022,13:03:14,53.802571,-104.609223,5,5961626,525736,13U,Single Species Patch Tree/Shrub,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,87b77fe2-3ba4-4b42-b096-9f78a9088949_1662059102.jpg,87b77fe2-3ba4-4b42-b096-9f78a9088949_1662059131.jpg,87b77fe2-3ba4-4b42-b096-9f78a9088949_1662059145.jpg,87b77fe2-3ba4-4b42-b096-9f78a9088949_1662059182.jpg,87b77fe2-3ba4-4b42-b096-9f78a9088949_1662059199.jpg,,
6d627605-d16d-454d-bd83-2ea7da174b25,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T18:08:00.521Z,2022-09-05T16:50:45.000Z,me@kylekovach.com,BERM_0009,BERM_0009,9/1/2022,12:02:35,53.876176,-104.632391,5,5969807,524168,13U,Single Species Patch Tree/Shrub,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,6d627605-d16d-454d-bd83-2ea7da174b25_1662055521.jpg,6d627605-d16d-454d-bd83-2ea7da174b25_1662055552.jpg,6d627605-d16d-454d-bd83-2ea7da174b25_1662055605.jpg,6d627605-d16d-454d-bd83-2ea7da174b25_1662055630.jpg,6d627605-d16d-454d-bd83-2ea7da174b25_1662055673.jpg,,
230b8673-2540-4e8a-b3f3-5e198ccc0d6f,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T17:31:43.875Z,2022-09-05T16:50:34.000Z,me@kylekovach.com,BERM_0008,BERM_0008,9/1/2022,10:58:53,53.91467,-104.639767,5,5974087,523661,13U,Mixed Species Box Ground,4,10 - 25%,50 - 75%,N/A,N/A,0 - 10%,0 - 10%,N/A,10 - 25%,50 - 75%,Bearberry,25 - 50%,Blueberry,10 - 25%,Grass,10 - 25%,,N/A,,N/A,230b8673-2540-4e8a-b3f3-5e198ccc0d6f_1662053377.jpg,230b8673-2540-4e8a-b3f3-5e198ccc0d6f_1662053403.jpg,230b8673-2540-4e8a-b3f3-5e198ccc0d6f_1662053439.jpg,230b8673-2540-4e8a-b3f3-5e198ccc0d6f_1662053470.jpg,230b8673-2540-4e8a-b3f3-5e198ccc0d6f_1662053482.jpg,,
d015d2a1-3557-4a3c-8991-f38b88e98bc8,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T16:48:42.464Z,2022-09-05T16:50:28.000Z,me@kylekovach.com,BERM_0007,BERM_0007,9/1/2022,10:40:55,53.915044,-104.639655,5,5974129,523668,13U,Single Species Patch Tree/Shrub,0,25 - 50%,N/A,N/A,N/A,50 - 75%,N/A,N/A,N/A,75 - 90%,Alder,50 - 75%,,N/A,,N/A,,N/A,,N/A,d015d2a1-3557-4a3c-8991-f38b88e98bc8_1662050720.jpg,d015d2a1-3557-4a3c-8991-f38b88e98bc8_1662050743.jpg,d015d2a1-3557-4a3c-8991-f38b88e98bc8_1662050769.jpg,d015d2a1-3557-4a3c-8991-f38b88e98bc8_1662050789.jpg,d015d2a1-3557-4a3c-8991-f38b88e98bc8_1662050840.jpg,,Moderate amount of grass between and around shrubs.
71790cf9-805f-4d59-9dbe-e90fdf50a86a,57fd4d72-6926-458b-b53e-953bf1926df2,2022-09-01T16:28:27.693Z,2022-09-05T16:50:18.000Z,me@kylekovach.com,BERM_0006,BERM_0006,9/1/2022,10:18:07,53.913911,-104.638575,5,5974003,523740,13U,Mixed Species Patch Tree/Shrub,0,0 - 10%,0 - 10%,N/A,N/A,75 - 90%,0 - 10%,N/A,N/A,75 - 90%,Populus tremuloides,75 - 90%,Alder,10 - 25%,Grass,0 - 10%,,N/A,,N/A,71790cf9-805f-4d59-9dbe-e90fdf50a86a_1662049374.jpg,71790cf9-805f-4d59-9dbe-e90fdf50a86a_1662049435.jpg,71790cf9-805f-4d59-9dbe-e90fdf50a86a_1662049506.jpg,71790cf9-805f-4d59-9dbe-e90fdf50a86a_1662049547.jpg,71790cf9-805f-4d59-9dbe-e90fdf50a86a_1662049654.jpg,,
db015782-ffb7-4904-850e-88de92eea429,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-31T20:29:34.295Z,2022-09-05T16:50:11.000Z,me@kylekovach.com,BERM_0005,BERM_0005,8/31/2022,14:25:06,53.908432,-104.655688,5,5973388,522618,13U,Single Species Patch Tree/Shrub,1,N/A,N/A,N/A,10 - 25%,0 - 10%,25 - 50%,N/A,N/A,10 - 25%,Pinus banksiana,50 - 75%,Oval leaf,10 - 25%,Lichen,10 - 25%,,0 - 10%,,N/A,db015782-ffb7-4904-850e-88de92eea429_1661977753.jpg,db015782-ffb7-4904-850e-88de92eea429_1661978050.jpg,db015782-ffb7-4904-850e-88de92eea429_1661978073.jpg,db015782-ffb7-4904-850e-88de92eea429_1661978106.jpg,db015782-ffb7-4904-850e-88de92eea429_1661977985.jpg,,
768e7941-808e-46e5-9351-97f25dd4b5eb,57fd4d72-6926-458b-b53e-953bf1926df2,2022-08-31T19:24:51.998Z,2022-09-05T16:50:03.000Z,me@kylekovach.com,BERM_0004,BERM_0004,8/31/2022,13:19:49,53.944803,-104.648944,5,5977437,523041,13U,Single Species Patch Tree/Shrub,2,N/A,0 - 10%,N/A,25 - 50%,N/A,25 - 50%,N/A,N/A,25 - 50%,Picea mariana,25 - 50%,Lichen,25 - 50%,Oval leaf,10 - 25%,,N/A,,N/A,768e7941-808e-46e5-9351-97f25dd4b5eb_1661974048.jpg,768e7941-808e-46e5-9351-97f25dd4b5eb_1661974094.jpg,768e7941-808e-46e5-9351-97f25dd4b5eb_1661974101.jpg,768e7941-808e-46e5-9351-97f25dd4b5eb_1661974159.jpg,768e7941-808e-46e5-9351-97f25dd4b5eb_1661974173.jpg,,
