Name,Lon,Lat,Team,Date & Time,Hgt,Corrected,Flown
ATQA_001,-157.4081684,70.45098462,OtherTeams_2019,,22.295,no,Old
ATQA_002,-157.4119379,70.45092177,OtherTeams_2019,,16.96,no,Old
ATQA_003,-157.4115922,70.45117873,OtherTeams_2019,,25.443,Yes,Old
ATQA_004,-157.403706,70.45254971,OtherTeams_2019,,20.11,Yes,Old
ATQA_005,-157.3969918,70.45150283,OtherTeams_2019,,18.098,Yes,Old
ATQA_006,-157.3973659,70.45086013,OtherTeams_2019,,19.613,Yes,Old
ATQA_007,-157.395552,70.46547981,OtherTeams_2019,,21.039,Yes,Old
ATQA_008,-157.3947322,70.46467452,OtherTeams_2019,,18.431,Yes,Old
ATQA_009,-157.3967943,70.46439743,OtherTeams_2019,,17.7,Yes,Old
ATQA_010,-157.4021384,70.46636854,OtherTeams_2019,,19.146,Yes,Old
ATQA_011,-157.4096994,70.46331072,OtherTeams_2019,,18.05,Yes,Old
ATQA_012,-157.4047069,70.46544442,OtherTeams_2019,,16.556,Yes,Old
ATQA_013,-157.4039239,70.46595664,OtherTeams_2019,,18.03,Yes,Old
ATQA_014,-157.3680626,70.45334189,OtherTeams_2019,,23.519,Yes,Old
ATQA_015,-157.3676293,70.45274279,OtherTeams_2019,,22.276,Yes,Old
ATQA_016,-157.3708253,70.45053919,OtherTeams_2019,,23.713,Yes,Old
ATQA_017,-157.3688623,70.44980039,OtherTeams_2019,,16.276,Yes,Old
ATQA_018,-157.3691208,70.45534973,OtherTeams_2019,,24.057,Yes,Old
BARR_001,-156.6511388,71.28255462,OtherTeams_2019,,5.879,Yes,Old
BARR_002,-156.6551754,71.28230947,OtherTeams_2019,,6.026,Yes,Old
BARR_003,-156.652039,71.28322699,OtherTeams_2019,,5.977,Yes,Old
BARR_004,-156.6536867,71.2813716,OtherTeams_2019,,6.02,Yes,Old
BARR_005,-156.6636503,71.28952425,OtherTeams_2019,,5.805,Yes,Old
BARR_006,-156.6661673,71.28865212,OtherTeams_2019,,5.768,Yes,Old
BARR_007,-156.6406816,71.27450705,OtherTeams_2019,,7.068,Yes,Old
BARR_008,-156.6457306,71.27536155,OtherTeams_2019,,6.052,Yes,Old
BARR_009,-156.6425131,71.27638142,OtherTeams_2019,,5.872,Yes,Old
BARR_010,-156.6408849,71.27716999,OtherTeams_2019,,5.795,Yes,Old
BARR_011,-156.6252653,71.27619434,OtherTeams_2019,,5.415,Yes,Old
BARR_012,-156.6249757,71.27511438,OtherTeams_2019,,6.956,Yes,Old
BARR_013,-156.6250928,71.27684565,OtherTeams_2019,,5.306,Yes,Old
BARR_014,-156.5971625,71.26130602,OtherTeams_2019,,5.72,Yes,Old
BARR_015,-156.5927066,71.26150194,OtherTeams_2019,,5.466,Yes,Old
BARR_016,-156.5963712,71.26005951,OtherTeams_2019,,6.658,Yes,Old
BERM_0000,-104.6910248,53.9147847,Kovach_2022,"Sep 13, 2022 at 2:12:44 PM",,,NewFlown
BERM_0001,-104.6913653,53.915681,Kovach_2022,"Sep 13, 2022 at 2:13:17 PM",,,NewFlown
BERM_0002,-105.1143256,53.9980941,Kovach_2022,"Aug 31, 2022 at 11:44:49 AM",,,NewFlown
BERM_0003,-105.1123659,53.9998461,Kovach_2022,"Aug 31, 2022 at 12:25:25 PM",,,NewFlown
BERM_0004,-104.6488678,53.9447816,Kovach_2022,"Sep 1, 2022 at 2:15:59 PM",,,NewFlown
BERM_0005,-104.6556923,53.9084701,Kovach_2022,"Sep 1, 2022 at 2:16:34 PM",,,NewFlown
BERM_0006,-104.6385764,53.9138969,Kovach_2022,"Sep 1, 2022 at 2:21:18 PM",,,NewFlown
BERM_0007,-104.6396718,53.9150416,Kovach_2022,"Sep 1, 2022 at 2:22:30 PM",,,NewFlown
BERM_0008,-104.6397802,53.9146887,Kovach_2022,"Sep 1, 2022 at 2:22:54 PM",,,NewFlown
BERM_0009,-104.6323755,53.8761615,Kovach_2022,"Sep 1, 2022 at 2:23:17 PM",,,NewFlown
BERM_0010,-104.6092637,53.802546,Kovach_2022,"Sep 1, 2022 at 2:23:59 PM",,,NewFlown
BERM_0011,-104.617608,53.8021694,Kovach_2022,"Sep 1, 2022 at 2:44:51 PM",,,NewFlown
BERM_0012,-105.1129855,53.9967819,Kovach_2022,"Sep 1, 2022 at 2:24:57 PM",,,NewFlown
BERM_0013,-105.113383,54.0007861,Kovach_2022,"Sep 1, 2022 at 2:25:59 PM",,,NewFlown
BONA_001,-147.4911823,65.15683719,OtherTeams_2019,,237.712,Yes,Old
BONA_002,-147.4898413,65.15616763,OtherTeams_2019,,232.258,Yes,Old
BONA_003,-147.491754,65.15591028,OtherTeams_2019,,232.532,Yes,Old
BONA_004,-147.4758677,65.15047006,OtherTeams_2019,,245.0129383,no,Old
BONA_005,-147.4757525,65.15000063,OtherTeams_2019,,230.584,Yes,Old
BONA_006,-147.4769198,65.14974371,OtherTeams_2019,,223.474,Yes,Old
BONA_007,-147.4711731,65.14523849,OtherTeams_2019,,238.218,Yes,Old
BONA_008,-147.4960477,65.15739183,OtherTeams_2019,,234.112,Yes,Old
BONA_009,-147.4974103,65.1573766,OtherTeams_2019,,234.651,Yes,Old
BONA_010,-147.4975856,65.15699314,OtherTeams_2019,,233.974,Yes,Old
BONA_011,-147.4850728,65.15289803,OtherTeams_2019,,217.685,Yes,Old
BONA_012,-147.4830264,65.15299744,OtherTeams_2019,,221.223,Yes,Old
BONA_013,-147.4889771,65.16322236,OtherTeams_2019,,286.738,Yes,Old
BONA_014,-147.490108,65.16337575,OtherTeams_2019,,290.316,Yes,Old
BONA_015,-147.4916212,65.16803909,OtherTeams_2019,,355.297,Yes,Old
BONA_016,-147.4921046,65.17273612,OtherTeams_2019,,450.237,Yes,Old
BONA_017,-147.4914428,65.17270409,OtherTeams_2019,,448.712,Yes,Old
BONA_018,-147.4904976,65.17266681,OtherTeams_2019,,445.757,Yes,Old
BONA_019,-147.4917244,65.18052842,OtherTeams_2019,,579.953,Yes,Old
BONA_020,-147.4957251,65.18461452,OtherTeams_2019,,648.282,Yes,Old
BONA_021,-147.4880646,65.16594017,OtherTeams_2019,,313.261,Yes,Old
CHAR_001,-104.9074595,69.1571035,OtherTeams_2019,,14.320797,Yes,Old
CHAR_002,-104.9081621,69.15650331,OtherTeams_2019,,16.137446,Yes,Old
CHAR_003,-104.9063562,69.15612542,OtherTeams_2019,,15.523002,Yes,Old
CHAR_004,-104.9026055,69.15535127,OtherTeams_2019,,10.643203,Yes,Old
CHAR_005,-104.9023991,69.1550259,OtherTeams_2019,,10.514031,Yes,Old
CHAR_006,-104.9016441,69.15496555,OtherTeams_2019,,10.174204,Yes,Old
CHAR_007,-104.9032319,69.15509309,OtherTeams_2019,,11.666065,Yes,Old
CHAR_008,-104.9044268,69.15492724,OtherTeams_2019,,10.400063,Yes,Old
CHAR_009,-104.9125561,69.15883903,OtherTeams_2019,,11.668248,Yes,Old
CHAR_010,-104.9122045,69.15911831,OtherTeams_2019,,11.625441,Yes,Old
CHAR_011,-104.9105679,69.15956056,OtherTeams_2019,,11.044908,Yes,Old
CHAR_012,-104.9090042,69.15874557,OtherTeams_2019,,11.74416,Yes,Old
CHAR_013,-104.9104055,69.15988828,OtherTeams_2019,,11.977608,Yes,Old
CHAR_014,-104.9085731,69.15926517,OtherTeams_2019,,11.884091,Yes,Old
CHAR_015,-104.9096952,69.15841804,OtherTeams_2019,,13.044747,Yes,Old
CHAR_016,-104.9107675,69.15840224,OtherTeams_2019,,12.1977,Yes,Old
