Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_072_BULK,51.85644425,-2.840533252,1.748308101,0.136296698,0.243157353,0.040482759,,,,,,,,,,,,,,,,
ABV_54_Moss,44.23158403,-7.13511391,0.607281322,0.138569638,0.964305774,0.099122364,,,,,,,,,,,,,,,,
ABV_67_Vacc,53.44158775,-3.028718221,3.024491623,0.171278091,0.363915221,0.056397726,,,,,,,,,,,,,,,,
ABV_BERM_0000_CA1,54.34366403,-3.594218841,1.095049894,0.113687894,0.269981693,0.03117324,,,,,,,,,,,,,,,,
ABV_BERM_0000_GR1,56.49285804,-5.205704457,1.076389049,-0.025208623,0.482528442,0.114890964,,,,,,,,,,,,,,,,
ABV_BERM_0000_GR1_Moss,45.70879947,-5.588881652,0.351975523,0.050131631,0.695920997,0.111396146,,,,,,,,,,,,,,,,
ABV_BERM_0000_SH1,54.28527671,-3.046725743,2.304843626,0.130369203,0.250888206,0.043886144,,,,,,,,,,,,,,,,
ABV_BERM_0001_CA1,52.93662506,-3.164079524,1.319947949,0.137073592,0.279903758,0.035339753,,,,,,,,,,,,,,,,
ABV_BERM_0001_GR1,43.00010396,-5.945633764,1.134472202,0.092105225,0.883645347,0.135918577,,,,,,,,,,,,,,,,
ABV_BERM_0001_GR2,45.18600703,-6.625607153,0.680926618,0.046070855,0.726607576,0.102840816,,,,,,,,,,,,,,,,
ABV_BERM_0002_CA1,56.03114587,-3.577580065,1.903360296,0.074956781,0.390367246,0.072773427,,,,,,,,,,,,,,,,
ABV_BERM_0003_CA1,53.88387345,-2.788360448,0.872967467,0.040667445,0.231605929,0.045837384,,,,,,,,,,,,,,,,
ABV_BERM_0004_CA1,53.67746061,-2.435030865,1.552126609,0.142406903,0.214425515,0.030518348,,,,,,,,,,,,,,,,
ABV_BERM_0005_CA1,53.95047882,-2.050404243,1.474733838,0.136774649,0.194906946,0.032243687,,,,,,,,,,,,,,,,
ABV_BERM_0006_GR1,52.60912705,-3.223007407,1.500355269,0.074681739,0.344976994,0.083716817,,,,,,,,,,,,,,,,
ABV_BERM_0006_SH1,55.94848442,-3.605407485,2.18028048,0.010113405,0.441680536,0.071738863,,,,,,,,,,,,,,,,
ABV_BERM_0006_SH2,53.28289635,-3.321460322,2.477500255,0.131720045,0.295122141,0.054193274,,,,,,,,,,,,,,,,
ABV_BERM_0007_SH1,54.7456106,-2.142716458,2.524292559,0.15287327,0.26602471,0.057947712,,,,,,,,,,,,,,,,
ABV_BERM_0009_CA1,52.64351989,-2.222470483,2.317543106,0.128303415,0.292662124,0.054564616,,,,,,,,,,,,,,,,
