doy,plot,treat,n
182,4,ambient,2.7146
182,5,ambient,2.8933
182,6,ambient,2.9527
182,1,snow,3.3348
182,2,snow,2.9412
182,3,snow,3.5872
187,4,ambient,2.4409
187,5,ambient,2.1403
187,6,ambient,2.6437
187,1,snow,3.3954
187,2,snow,2.6279
187,3,snow,2.7687
195,4,ambient,2.3764
195,5,ambient,1.964
195,6,ambient,1.9164
195,1,snow,2.6546
195,2,snow,2.36
195,3,snow,2.6305
202,4,ambient,1.8299
202,5,ambient,1.726
202,6,ambient,2.1234
202,1,snow,2.8377
202,2,snow,2.1724
202,3,snow,2.416
209,4,ambient,2.2492
209,5,ambient,1.9532
209,6,ambient,1.6831
209,1,snow,2.3157
209,2,snow,1.7815
209,3,snow,2.0246
216,4,ambient,1.6154
216,5,ambient,1.4378
216,6,ambient,1.6456
216,1,snow,2.0066
216,2,snow,2.0627
216,3,snow,2.1697
