"","sample_id","species","latin.genus","latin.species","measurement.date","functional_group","site","percent_N","percent_C"
"1","106364431","Salix arctica Pallas","Salix","arctica",2021-07-05,"shrub","Kluane Plateau",3.290556908,47.5277977
"2","106364529","Salix richardsonii Hooker","Salix","richardsonii",2021-07-05,"shrub","Kluane Plateau",5.061003685,46.70885849
"3","106364556","Salix arctica Pallas","Salix","arctica",2021-07-05,"shrub","Kluane Plateau",3.833439589,48.59173203
"4","106364575","Salix richardsonii Hooker","Salix","richardsonii",2021-07-05,"shrub","Kluane Plateau",2.934291363,46.47974777
"5","106381694","Salix pulchra Chamisso","Salix","pulchra",2021-07-07,"shrub","Kluane Plateau",3.516581297,49.63082123
"6","106381730","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",4.535034657,47.23609543
"7","106381773","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",3.931589842,46.31020737
"8","106381796","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",2.743354082,46.36600113
"9","106381846","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",3.301349401,47.07844543
"10","106381873","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",3.538019657,46.61442947
"11","106382127","Salix pulchra Chamisso","Salix","pulchra",2021-07-07,"shrub","Kluane Plateau",2.949252844,48.89754105
"12","106382266","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",2.740102291,46.19387436
"13","106382289","Salix pulchra Chamisso","Salix","pulchra",2021-07-07,"shrub","Kluane Plateau",2.184749126,49.96419907
"14","106382317","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",3.192659616,46.97081375
"15","106382343","Salix richardsonii Hooker","Salix","richardsonii",2021-07-07,"shrub","Kluane Plateau",2.800637722,44.84335709
"16","106382373","Salix pulchra Chamisso","Salix","pulchra",2021-07-07,"shrub","Kluane Plateau",3.105505705,49.53820038
"17","139632532","Salix arctica Pallas","Salix","arctica",2022-07-25,"shrub","Qikiqtaruk",2.391918898,48.39525223
"18","139632634","Salix arctica Pallas","Salix","arctica",2022-07-25,"shrub","Qikiqtaruk",2.609288216,48.03665161
"19","139632719","Dryas integrifolia Vahl","Dryas","integrifolia",2022-07-25,"shrub","Qikiqtaruk",1.704673529,50.22844315
"20","139632793","Dryas integrifolia Vahl","Dryas","integrifolia",2022-07-25,"shrub","Qikiqtaruk",1.677426577,50.84075165
"21","139632853","Dryas integrifolia Vahl","Dryas","integrifolia",2022-07-25,"shrub","Qikiqtaruk",2.14045763,50.51433563
