Sample,t_mean_Aluminum,t_mean_Boron,t_mean_Calcium,t_mean_Carbon,t_mean_Cellulose,t_mean_Copper,t_mean_d13C,t_mean_d15N,t_mean_Fiber,t_mean_Flavonoids,t_mean_Iron,t_mean_Lignin,t_mean_Magnesium,t_mean_Manganese,t_mean_Nitrogen,t_mean_NSC,t_mean_Phenolics,t_mean_Phosphorus,t_mean_Potassium,t_mean_Starch,t_mean_Sugar,t_mean_Sulfur,t_mean_Zinc,t_std_Aluminum,t_std_Boron,t_std_Calcium,t_std_Carbon,t_std_Cellulose,t_std_Copper,t_std_d13C,t_std_d15N,t_std_Fiber,t_std_Flavonoids,t_std_Iron,t_std_Lignin,t_std_Magnesium,t_std_Manganese,t_std_Nitrogen,t_std_NSC,t_std_Phenolics,t_std_Phosphorus,t_std_Potassium,t_std_Starch,t_std_Sugar,t_std_Sulfur,t_std_Zinc,lat,long,species,plant_type,plot_type,,,
ABV_072_BULK,47.76580352,23.93872077,1.034892203,51.85644425,14.79852394,5.65769782,-26.99305272,-2.840533252,30.87178594,6.7369199,44.44746573,13.70484488,0.224245605,106.8860625,1.748308101,28.2670053,7.622591767,0.136296698,0.520125109,3.852789851,23.14039688,0.110144801,20.09979968,6.572385971,2.714650049,0.101805863,0.265577351,0.889153818,0.343713262,0.983988881,0.243157353,1.736168731,1.348064338,1.294434969,1.167025298,0.01905897,21.53845951,0.040482759,0.96870244,0.5412302,0.012037027,0.110859835,0.484653695,1.143274162,0.008676066,1.903232583,,,,,,,,color key
ABV_54_Moss,150.331788,36.08325527,1.268268179,44.23158403,28.3339504,8.012255921,-24.90566048,-7.13511391,46.0670059,3.930410701,53.60858286,17.8197733,0.350194693,166.8944913,0.607281322,30.16942326,7.169395486,0.138569638,0.918328402,4.848435363,16.04963035,-0.062375712,24.2410171,67.3030796,6.617824936,0.191079469,0.934839834,2.67196239,0.918744791,1.688074684,0.964305774,3.248055781,3.15410606,4.065330807,3.828421992,0.0504206,47.9697787,0.099122364,2.033263496,1.029329608,0.033282085,0.198538809,0.937875643,3.07312064,0.031094315,5.892549488,,,,,,,,multiple indistinguishable samples at site 
ABV_67_Vacc,54.96747934,31.79387964,0.996153148,53.44158775,12.81098568,7.872221661,-28.45722827,-3.028718221,32.25156782,5.837385101,49.42888059,15.61282227,0.174430048,180.5553159,3.024491623,31.54391942,7.255880105,0.171278091,0.373999667,3.774878686,27.28010673,0.124851142,25.09976814,25.31532416,4.424268985,0.127890213,0.345237398,0.92996064,0.534420742,1.553642233,0.363915221,2.128625034,1.998710233,2.286685901,1.58120039,0.037046619,34.73509958,0.056397726,1.322231571,0.688085967,0.020738696,0.156228942,0.571748332,1.595865856,0.018154915,3.901600774,,,,,,,,mix of species in one sample?
ABV_BERM_0000_CA1,78.28940955,24.70475986,0.559779458,54.34366403,21.67724162,4.780336645,-28.81228857,-3.594218841,50.77310527,7.483009099,47.69395764,24.93665422,0.092623837,158.9929658,1.095049894,25.96165478,7.518033646,0.113687894,0.498937662,5.018407471,20.38322284,0.043618959,22.69441356,13.60741958,2.055395319,0.087185354,0.252310351,1.073358448,0.384580419,1.012571047,0.269981693,1.94263845,1.93084025,1.139803602,1.337737187,0.019835352,18.63866166,0.03117324,0.906474293,0.540960695,0.01195096,0.096299293,0.506309516,1.510678756,0.011769928,2.15976927,53.914802,-104.691055,Pinus banksia,tree,single species tree/shrub,,,ground species in a CA sample
ABV_BERM_0000_GR1,24.25933784,37.96858133,0.1693605,56.49285804,10.40850084,3.483839237,-19.00197442,-5.205704457,28.51064734,17.09467118,27.22346108,8.329065675,0.194604927,162.2790046,1.076389049,42.19629761,11.48210805,-0.025208623,-1.577755176,6.188623237,41.97548077,-0.028227699,13.66258303,19.71414721,5.184971839,0.265052281,0.799582774,2.259785465,0.730253231,2.356022938,0.482528442,3.80157673,3.352402703,3.053046524,3.285022929,0.056467061,40.79357249,0.114890964,2.769963906,1.067043031,0.031813639,0.305389957,0.948464851,2.586995907,0.019768556,3.861100815,53.914802,-104.691055,Oval Leaf,?,single species tree/shrub,,,
ABV_BERM_0000_GR1_Moss,130.346431,32.43475471,0.80209944,45.70879947,26.80896169,5.427191735,-25.24363253,-5.588881652,47.22447235,0.053852564,43.02821715,20.96246743,0.16167439,182.3970923,0.351975523,21.35701979,4.884912715,0.050131631,0.87871078,3.537426476,9.68967859,-0.078240714,11.34769982,55.15328103,5.729235903,0.21247263,0.715024915,2.32879924,0.749191274,1.479253758,0.695920997,2.712048802,2.201085279,2.706208808,3.244552578,0.051320924,36.98194166,0.111396146,1.908110796,0.820058976,0.027357795,0.189455322,0.683153492,1.61475365,0.027455553,4.794909375,53.914802,-104.691055,moss,moss,single species tree/shrub,,,
ABV_BERM_0000_SH1,80.86089778,23.53800327,0.630123464,54.28527671,10.94333908,6.327268699,-26.83992736,-3.046725743,29.01725077,9.100515572,41.55587651,15.15887899,0.222857284,262.7132805,2.304843626,35.50842404,9.990422179,0.130369203,0.361198607,4.100298513,31.18154861,0.12125207,22.6619362,17.78475272,3.521251174,0.102146369,0.316585862,1.161857732,0.452028463,1.05740723,0.250888206,2.83704586,1.395815263,1.865948306,1.447145461,0.023653166,27.05863226,0.043886144,1.023853653,0.562256573,0.014809976,0.108070287,0.405310365,1.194020968,0.011748746,2.629454438,53.914802,-104.691055,Green Alder,shrub,single species tree/shrub,,,
ABV_BERM_0001_CA1,81.81353297,20.22274668,0.409901362,52.93662506,23.39674466,5.159968821,-29.09188762,-3.164079524,53.55916716,5.473965873,48.29704976,27.46613747,0.09006463,133.5493835,1.319947949,24.27231958,6.914289887,0.137073592,0.70906121,4.378321948,18.23989039,0.057400671,23.22116974,15.50316048,1.811638872,0.093449718,0.267011684,1.080232881,0.335093995,0.960721284,0.279903758,1.893009304,1.947009936,1.311594024,1.291780522,0.021388049,15.60352149,0.035339753,0.940565761,0.521253461,0.010961177,0.108094015,0.448349751,1.455692601,0.011224046,1.740421389,53.915702,-104.691308,Pinus Banksia,tree,single species tree/shrub,,,
ABV_BERM_0001_GR1,114.3701178,28.53509324,1.267854915,43.00010396,24.3618136,3.31781759,-16.24104443,-5.945633764,50.83686059,-12.64177574,30.84911323,20.27212587,0.308730421,119.0896677,1.134472202,32.484007,1.854649426,0.092105225,-0.715561835,6.51774446,10.78882563,-0.115900618,29.37263372,27.86408086,5.035902625,0.313342212,1.160644334,3.605886372,0.854692176,2.605791179,0.883645347,5.517897427,5.022901744,2.841867684,6.662200896,0.061189322,37.33499284,0.135918577,3.077512902,1.071999061,0.034579522,0.315715384,1.079659563,2.987026992,0.03275228,4.520515182,53.915702,-104.691308,lichen,lichen,single species tree/shrub,,,
ABV_BERM_0001_GR2,131.1279225,37.08309989,0.509197743,45.18600703,26.8890011,6.110922464,-26.78960546,-6.625607153,45.21730955,-1.448918705,46.96053859,17.66667787,0.186839716,172.9644379,0.680926618,24.03388557,5.275349692,0.046070855,0.674834866,3.882374431,10.97536084,-0.076552293,15.24931157,61.16932187,6.851632329,0.197471137,0.775539798,2.323483125,0.862860114,1.563083148,0.726607576,2.71786985,2.652278874,3.161372864,3.161477426,0.053735071,42.22859118,0.102840816,1.826351177,0.900545756,0.028983595,0.196182363,0.865446952,2.110174522,0.02916088,5.617211131,53.915702,-104.691308,moss,moss,single species tree/shrub,,,
