"","Id","w.","N","C","CtoN","d15Nkorr","d13Ckorr","Date","Block","Fence","Regime"
"1",1,3.201,3.77,45.9,12.19,-3.64,-29.5,"2012-07-20","A","A1a","Deep"
"2",2,3.728,3.87,44.28,11.44,-2.62,-29.39,"2012-07-20","A","A1b","Deep"
"3",3,3.926,4.07,43.34,10.65,-0.45,-29.54,"2012-07-20","A","A3","Deep"
"4",4,3.59,2.65,44.65,16.86,-3.96,-29.88,"2012-07-20","A","A1a","Normal"
"5",5,3.208,3.06,46.02,15.02,-3.18,-29.01,"2012-07-20","A","A1b","Normal"
"6",6,3.587,2.84,44.52,15.66,-2.15,-27.56,"2012-07-20","A","A3","Normal"
"7",7,3.071,3.98,45.78,11.5,-0.75,-28.75,"2012-07-20","C","C7","Deep"
"8",8,3.757,4.03,44.1,10.96,-0.67,-28.75,"2012-07-20","C","C8","Deep"
"9",9,3.882,4.27,42.87,10.05,-0.55,-29.29,"2012-07-20","C","C9","Deep"
"10",10,3.189,2.98,45.57,15.28,-3.82,-29.17,"2012-07-20","C","C7","Normal"
"11",11,3.856,2.86,44.02,15.4,0.19,-29.58,"2012-07-20","C","C8","Normal"
"12",13,3.941,3.14,43.08,13.7,-3.45,-29.79,"2012-08-01","A","A1a","Deep"
"13",14,3.97,3.11,42.95,13.82,-3.39,-29.5,"2012-08-01","A","A1b","Deep"
"14",15,3.81,3.18,43.15,13.57,-2.44,-29.73,"2012-08-01","A","A3","Deep"
"15",16,3.874,2.49,42.64,17.12,-4.09,-29.55,"2012-08-01","A","A1a","Normal"
"16",17,3.194,2.78,45.24,16.28,-4.75,-29.4,"2012-08-01","A","A1b","Normal"
"17",18,3.768,2.57,43.35,16.86,-4.66,-28.68,"2012-08-01","A","A3","Normal"
"18",19,3.645,3.34,43.95,13.14,-0.02,-29.01,"2012-08-01","C","C7","Deep"
"19",20,3.956,3.68,43.06,11.69,0.15,-29.08,"2012-08-01","C","C8","Deep"
"20",21,3.359,3.89,44.37,11.41,0.63,-30.05,"2012-08-01","C","C9","Deep"
"21",22,3.923,2.94,43.21,14.69,-2.12,-29.16,"2012-08-01","C","C7","Normal"
"22",23,3.693,2.93,44.03,15.01,1.49,-29.87,"2012-08-01","C","C8","Normal"
