ID- Full,Plot,Date Sampled,Julian Date,Year Sampled,Functional Group,Species,Snow Zone,%C,%N
JR170619-SLS-D1,1,6/19/2017,170,2017,Deciduous shrub,Salix,Low,51.98,3.16
JR170619-SLS-D2,2,6/19/2017,170,2017,Deciduous shrub,Salix,Low,51.95,3.08
JR170619-SLS-D3,3,6/19/2017,170,2017,Deciduous shrub,Salix,Low,51.25,2.76
JR170619-SLS-D4,4,6/19/2017,170,2017,Deciduous shrub,Salix,Low,51.68,2.71
JR170619-SLS-D5,5,6/19/2017,170,2017,Deciduous shrub,Salix,Low,52.65,2.95
JR170619-SLS-DX1,6,6/19/2017,170,2017,Deciduous shrub,Salix,Low,51.96,2.96
JR170619-SIS-D6,1,6/19/2017,170,2017,Deciduous shrub,Salix,Intermediate,50.84,4.03
JR170619-SIS-D7,2,6/19/2017,170,2017,Deciduous shrub,Salix,Intermediate,51.21,3.57
JR170619-SIS-D8,3,6/19/2017,170,2017,Deciduous shrub,Salix,Intermediate,51.7,4.27
JR170619-SIS-D9,4,6/19/2017,170,2017,Deciduous shrub,Salix,Intermediate,51.23,4.37
JR170619-SIS-D10,5,6/19/2017,170,2017,Deciduous shrub,Salix,Intermediate,51.09,4.27
JR170619-SAS-D11,1,6/19/2017,170,2017,Deciduous shrub,Salix,Ambient,52.08,3.17
JR170619-SAS-D12,2,6/19/2017,170,2017,Deciduous shrub,Salix,Ambient,52.32,2.81
JR170619-SAS-D13,3,6/19/2017,170,2017,Deciduous shrub,Salix,Ambient,47.9,2.54
JR170619-SAS-D14,4,6/19/2017,170,2017,Deciduous shrub,Salix,Ambient,52.16,3.14
JR170619-SAS-D15,5,6/19/2017,170,2017,Deciduous shrub,Salix,Ambient,52.49,3.56
JR170619-BLS-D16,1,6/19/2017,170,2017,Deciduous shrub,Betula,Low,53.31,2.89
JR170619-BLS-D17,2,6/19/2017,170,2017,Deciduous shrub,Betula,Low,52.84,2.59
JR170619-BLS-D18,3,6/19/2017,170,2017,Deciduous shrub,Betula,Low,53.27,2.91
JR170619-BLS-D19,4,6/19/2017,170,2017,Deciduous shrub,Betula,Low,54.1,2.18
JR170619-BLS-D20,5,6/19/2017,170,2017,Deciduous shrub,Betula,Low,52,2.89
JR170619-BIS-D21,1,6/19/2017,170,2017,Deciduous shrub,Betula,Intermediate,52.66,4.73
JR170619-BIS-D22,2,6/19/2017,170,2017,Deciduous shrub,Betula,Intermediate,52.09,4.5
JR170619-BIS-D23,3,6/19/2017,170,2017,Deciduous shrub,Betula,Intermediate,53.42,2.89
JR170619-BIS-D24,4,6/19/2017,170,2017,Deciduous shrub,Betula,Intermediate,53.77,3.92
JR170619-BIS-D25,5,6/19/2017,170,2017,Deciduous shrub,Betula,Intermediate,51.66,3.42
JR170619-BAS-D26,1,6/19/2017,170,2017,Deciduous shrub,Betula,Ambient,54.91,2.83
JR170619-BAS-D27,2,6/19/2017,170,2017,Deciduous shrub,Betula,Ambient,54.36,2.28
JR170619-BAS-D28,3,6/19/2017,170,2017,Deciduous shrub,Betula,Ambient,53.03,2.77
JR170619-BAS-D29,4,6/19/2017,170,2017,Deciduous shrub,Betula,Ambient,53.59,2.95
JR170619-BAS-D30,5,6/19/2017,170,2017,Deciduous shrub,Betula,Ambient,53.48,2.94
JR170619-ELS-D31,1,6/19/2017,170,2017,Sedge,Eriophorum,Low,48.41,2.1
JR170619-ELS-D32,2,6/19/2017,170,2017,Sedge,Eriophorum,Low,48.19,1.71
JR170619-ELS-D33,3,6/19/2017,170,2017,Sedge,Eriophorum,Low,48.41,2.18
JR170619-ELS-D34,4,6/19/2017,170,2017,Sedge,Eriophorum,Low,48.15,1.98
JR170619-ELS-D35,5,6/19/2017,170,2017,Sedge,Eriophorum,Low,48.25,2.01
JR170619-EIS-D36,1,6/19/2017,170,2017,Sedge,Eriophorum,Intermediate,48.95,2.14
JR170619-EIS-D37,2,6/19/2017,170,2017,Sedge,Eriophorum,Intermediate,48.4,1.73
JR170619-EIS-D38,3,6/19/2017,170,2017,Sedge,Eriophorum,Intermediate,48.49,2.88
JR170619-EIS-D39,4,6/19/2017,170,2017,Sedge,Eriophorum,Intermediate,48.5,2.18
JR170619-EIS-D40,5,6/19/2017,170,2017,Sedge,Eriophorum,Intermediate,49.09,1.75
JR170619-EAS-D41,1,6/19/2017,170,2017,Sedge,Eriophorum,Ambient,49.01,1.95
JR170619-EAS-D42,2,6/19/2017,170,2017,Sedge,Eriophorum,Ambient,48.63,2.22
JR170619-EAS-D43,3,6/19/2017,170,2017,Sedge,Eriophorum,Ambient,48.15,2.09
JR170619-EAS-D44,4,6/19/2017,170,2017,Sedge,Eriophorum,Ambient,47.88,2.1
JR170619-EAS-D45,5,6/19/2017,170,2017,Sedge,Eriophorum,Ambient,48.27,2.74
JR170619-CLS-D46,1,6/19/2017,170,2017,Sedge,Carex,Low,47.15,2.9
JR170619-CLS-D47,2,6/19/2017,170,2017,Sedge,Carex,Low,47.08,3.89
JR170619-CLS-D48,3,6/19/2017,170,2017,Sedge,Carex,Low,46.97,3.51
JR170619-CLS-D49,4,6/19/2017,170,2017,Sedge,Carex,Low,46.88,2.93
JR170619-CIS-D51,1,6/19/2017,170,2017,Sedge,Carex,Intermediate,47.44,3.55
JR170619-CIS-D52,2,6/19/2017,170,2017,Sedge,Carex,Intermediate,47.5,4.04
JR170619-CIS-D53,3,6/19/2017,170,2017,Sedge,Carex,Intermediate,47.43,3.7
JR170619-CIS-D54,4,6/19/2017,170,2017,Sedge,Carex,Intermediate,47.92,4.35
